date posted,country,total vaccinations,date loaded
2021-02-04,Myanmar,105490.0,2021-04-10 23:18:45.162513
2021-02-04,Myanmar,105490.0,2021-04-10 23:18:45.162513
2021-03-01,Greenland,5130.0,2021-04-10 23:18:45.162513
2021-03-01,Greenland,5130.0,2021-04-10 23:18:45.162513
2021-03-11,Curaçao,0.0,2021-04-10 23:18:45.162513
2021-03-11,Curaçao,0.0,2021-04-10 23:18:45.162513
2021-03-11,Nicaragua,0.0,2021-04-10 23:18:45.162513
2021-03-11,Nicaragua,0.0,2021-04-10 23:18:45.162513
2021-03-12,Venezuela (Bolivarian Republic of),,2021-04-10 23:18:45.162513
2021-03-12,Venezuela (Bolivarian Republic of),,2021-04-10 23:18:45.162513
2021-03-15,Saint Helena,3107.0,2021-04-10 23:18:45.162513
2021-03-15,Saint Helena,3107.0,2021-04-10 23:18:45.162513
2021-03-21,Albania,24421.0,2021-04-10 23:18:45.162513
2021-03-21,Albania,24421.0,2021-04-10 23:18:45.162513
2021-03-23,Nepal,1758333.0,2021-04-10 23:18:45.162513
2021-03-23,Nepal,1758333.0,2021-04-10 23:18:45.162513
2021-03-25,New Caledonia,26676.0,2021-04-10 23:18:45.162513
2021-03-25,New Caledonia,26676.0,2021-04-10 23:18:45.162513
2021-03-26,Falkland Islands (Malvinas),2187.0,2021-04-10 23:18:45.162513
2021-03-26,Falkland Islands (Malvinas),2187.0,2021-04-10 23:18:45.162513
2021-03-28,American Samoa,28527.0,2021-04-10 23:18:45.162513
2021-03-28,American Samoa,28527.0,2021-04-10 23:18:45.162513
2021-03-28,Georgia,4300.0,2021-04-10 23:18:45.162513
2021-03-28,Georgia,4300.0,2021-04-10 23:18:45.162513
2021-03-28,Guam,81649.0,2021-04-10 23:18:45.162513
2021-03-28,Guam,81649.0,2021-04-10 23:18:45.162513
2021-03-28,Japan,822869.0,2021-04-10 23:18:45.162513
2021-03-28,Japan,822869.0,2021-04-10 23:18:45.162513
2021-03-28,Marshall Islands,19871.0,2021-04-10 23:18:45.162513
2021-03-28,Marshall Islands,19871.0,2021-04-10 23:18:45.162513
2021-03-28,Micronesia (Federated States of),23778.0,2021-04-10 23:18:45.162513
2021-03-28,Micronesia (Federated States of),23778.0,2021-04-10 23:18:45.162513
2021-03-28,Northern Mariana Islands (Commonwealth of the),26987.0,2021-04-10 23:18:45.162513
2021-03-28,Northern Mariana Islands (Commonwealth of the),26987.0,2021-04-10 23:18:45.162513
2021-03-28,Palau,13334.0,2021-04-10 23:18:45.162513
2021-03-28,Palau,13334.0,2021-04-10 23:18:45.162513
2021-03-29,Lebanon,183826.0,2021-04-10 23:18:45.162513
2021-03-29,Lebanon,183826.0,2021-04-10 23:18:45.162513
2021-03-29,Singapore,1318912.0,2021-04-10 23:18:45.162513
2021-03-29,Singapore,1318912.0,2021-04-10 23:18:45.162513
2021-03-29,Viet Nam,44000.0,2021-04-10 23:18:45.162513
2021-03-29,Viet Nam,44000.0,2021-04-10 23:18:45.162513
2021-03-30,Faroe Islands,10770.0,2021-04-10 23:18:45.162513
2021-03-30,Faroe Islands,10770.0,2021-04-10 23:18:45.162513
2021-03-30,Wallis and Futuna,2897.0,2021-04-10 23:18:45.162513
2021-03-30,Wallis and Futuna,2897.0,2021-04-10 23:18:45.162513
2021-03-31,Armenia,565.0,2021-04-10 23:18:45.162513
2021-03-31,Armenia,565.0,2021-04-10 23:18:45.162513
2021-03-31,French Polynesia,30080.0,2021-04-10 23:18:45.162513
2021-03-31,French Polynesia,30080.0,2021-04-10 23:18:45.162513
2021-03-31,Jersey,62126.0,2021-04-10 23:18:45.162513
2021-03-31,Jersey,62126.0,2021-04-10 23:18:45.162513
2021-03-31,New Zealand,48367.0,2021-04-10 23:18:45.162513
2021-03-31,New Zealand,48367.0,2021-04-10 23:18:45.162513
2021-04-01,Anguilla,5644.0,2021-04-10 23:18:45.162513
2021-04-01,Anguilla,5644.0,2021-04-10 23:18:45.162513
2021-04-01,Antigua and Barbuda,26424.0,2021-04-10 23:18:45.162513
2021-04-01,Antigua and Barbuda,26424.0,2021-04-10 23:18:45.162513
2021-04-01,Argentina,4023017.0,2021-04-10 23:18:45.162513
2021-04-01,Argentina,4023017.0,2021-04-10 23:18:45.162513
2021-04-01,Aruba,27904.0,2021-04-10 23:18:45.162513
2021-04-01,Aruba,27904.0,2021-04-10 23:18:45.162513
2021-04-01,Bahamas,6145.0,2021-04-10 23:18:45.162513
2021-04-01,Bahamas,6145.0,2021-04-10 23:18:45.162513
2021-04-01,Barbados,63711.0,2021-04-10 23:18:45.162513
2021-04-01,Barbados,63711.0,2021-04-10 23:18:45.162513
2021-04-01,Belize,22922.0,2021-04-10 23:18:45.162513
2021-04-01,Belize,22922.0,2021-04-10 23:18:45.162513
2021-04-01,Bermuda,37788.0,2021-04-10 23:18:45.162513
2021-04-01,Bermuda,37788.0,2021-04-10 23:18:45.162513
2021-04-01,Bolivia (Plurinational State of),314828.0,2021-04-10 23:18:45.162513
2021-04-01,Bolivia (Plurinational State of),314828.0,2021-04-10 23:18:45.162513
2021-04-01,"Bonaire, Sint Eustatius and Saba",5408.0,2021-04-10 23:18:45.162513
2021-04-01,"Bonaire, Sint Eustatius and Saba",5408.0,2021-04-10 23:18:45.162513
2021-04-01,Brazil,19474264.0,2021-04-10 23:18:45.162513
2021-04-01,Brazil,19474264.0,2021-04-10 23:18:45.162513
2021-04-01,British Virgin Islands,7162.0,2021-04-10 23:18:45.162513
2021-04-01,British Virgin Islands,7162.0,2021-04-10 23:18:45.162513
2021-04-01,Canada,5690380.0,2021-04-10 23:18:45.162513
2021-04-01,Canada,5690380.0,2021-04-10 23:18:45.162513
2021-04-01,Cayman Islands,49561.0,2021-04-10 23:18:45.162513
2021-04-01,Cayman Islands,49561.0,2021-04-10 23:18:45.162513
2021-04-01,Chile,10461783.0,2021-04-10 23:18:45.162513
2021-04-01,Chile,10461783.0,2021-04-10 23:18:45.162513
2021-04-01,Colombia,2243392.0,2021-04-10 23:18:45.162513
2021-04-01,Colombia,2243392.0,2021-04-10 23:18:45.162513
2021-04-01,Costa Rica,384355.0,2021-04-10 23:18:45.162513
2021-04-01,Costa Rica,384355.0,2021-04-10 23:18:45.162513
2021-04-01,Dominica,17674.0,2021-04-10 23:18:45.162513
2021-04-01,Dominica,17674.0,2021-04-10 23:18:45.162513
2021-04-01,Dominican Republic,1000000.0,2021-04-10 23:18:45.162513
2021-04-01,Dominican Republic,1000000.0,2021-04-10 23:18:45.162513
2021-04-01,Ecuador,244866.0,2021-04-10 23:18:45.162513
2021-04-01,Ecuador,244866.0,2021-04-10 23:18:45.162513
2021-04-01,El Salvador,133330.0,2021-04-10 23:18:45.162513
2021-04-01,El Salvador,133330.0,2021-04-10 23:18:45.162513
2021-04-01,French Guiana,12611.0,2021-04-10 23:18:45.162513
2021-04-01,French Guiana,12611.0,2021-04-10 23:18:45.162513
2021-04-01,Grenada,10305.0,2021-04-10 23:18:45.162513
2021-04-01,Grenada,10305.0,2021-04-10 23:18:45.162513
2021-04-01,Guadeloupe,24763.0,2021-04-10 23:18:45.162513
2021-04-01,Guadeloupe,24763.0,2021-04-10 23:18:45.162513
2021-04-01,Guatemala,104919.0,2021-04-10 23:18:45.162513
2021-04-01,Guatemala,104919.0,2021-04-10 23:18:45.162513
2021-04-01,Guyana,32714.0,2021-04-10 23:18:45.162513
2021-04-01,Guyana,32714.0,2021-04-10 23:18:45.162513
2021-04-01,Honduras,58314.0,2021-04-10 23:18:45.162513
2021-04-01,Honduras,58314.0,2021-04-10 23:18:45.162513
2021-04-01,Jamaica,33642.0,2021-04-10 23:18:45.162513
2021-04-01,Jamaica,33642.0,2021-04-10 23:18:45.162513
2021-04-01,Martinique,16496.0,2021-04-10 23:18:45.162513
2021-04-01,Martinique,16496.0,2021-04-10 23:18:45.162513
2021-04-01,Mexico,7214746.0,2021-04-10 23:18:45.162513
2021-04-01,Mexico,7214746.0,2021-04-10 23:18:45.162513
2021-04-01,Montserrat,1542.0,2021-04-10 23:18:45.162513
2021-04-01,Montserrat,1542.0,2021-04-10 23:18:45.162513
2021-04-01,Panama,357431.0,2021-04-10 23:18:45.162513
2021-04-01,Panama,357431.0,2021-04-10 23:18:45.162513
2021-04-01,Paraguay,43511.0,2021-04-10 23:18:45.162513
2021-04-01,Paraguay,43511.0,2021-04-10 23:18:45.162513
2021-04-01,Peru,875835.0,2021-04-10 23:18:45.162513
2021-04-01,Peru,875835.0,2021-04-10 23:18:45.162513
2021-04-01,Puerto Rico,1087811.0,2021-04-10 23:18:45.162513
2021-04-01,Puerto Rico,1087811.0,2021-04-10 23:18:45.162513
2021-04-01,Saint Kitts and Nevis,8984.0,2021-04-10 23:18:45.162513
2021-04-01,Saint Kitts and Nevis,8984.0,2021-04-10 23:18:45.162513
2021-04-01,Saint Lucia,22357.0,2021-04-10 23:18:45.162513
2021-04-01,Saint Lucia,22357.0,2021-04-10 23:18:45.162513
2021-04-01,Saint Vincent and the Grenadines,10805.0,2021-04-10 23:18:45.162513
2021-04-01,Saint Vincent and the Grenadines,10805.0,2021-04-10 23:18:45.162513
2021-04-01,Sint Maarten,9171.0,2021-04-10 23:18:45.162513
2021-04-01,Sint Maarten,9171.0,2021-04-10 23:18:45.162513
2021-04-01,Solomon Islands,2622.0,2021-04-10 23:18:45.162513
2021-04-01,Solomon Islands,2622.0,2021-04-10 23:18:45.162513
2021-04-01,Suriname,26057.0,2021-04-10 23:18:45.162513
2021-04-01,Suriname,26057.0,2021-04-10 23:18:45.162513
2021-04-01,Trinidad and Tobago,1137.0,2021-04-10 23:18:45.162513
2021-04-01,Trinidad and Tobago,1137.0,2021-04-10 23:18:45.162513
2021-04-01,Turks and Caicos Islands,,2021-04-10 23:18:45.162513
2021-04-01,Turks and Caicos Islands,,2021-04-10 23:18:45.162513
2021-04-01,United States of America,154238865.0,2021-04-10 23:18:45.162513
2021-04-01,United States of America,154238865.0,2021-04-10 23:18:45.162513
2021-04-01,Uruguay,705353.0,2021-04-10 23:18:45.162513
2021-04-01,Uruguay,705353.0,2021-04-10 23:18:45.162513
2021-04-02,Gibraltar,60907.0,2021-04-10 23:18:45.162513
2021-04-02,Gibraltar,60907.0,2021-04-10 23:18:45.162513
2021-04-02,Lao People's Democratic Republic,102148.0,2021-04-10 23:18:45.162513
2021-04-02,Lao People's Democratic Republic,102148.0,2021-04-10 23:18:45.162513
2021-04-02,Monaco,20510.0,2021-04-10 23:18:45.162513
2021-04-02,Monaco,20510.0,2021-04-10 23:18:45.162513
2021-04-02,Mongolia,336758.0,2021-04-10 23:18:45.162513
2021-04-02,Mongolia,336758.0,2021-04-10 23:18:45.162513
2021-04-02,Papua New Guinea,197.0,2021-04-10 23:18:45.162513
2021-04-02,Papua New Guinea,197.0,2021-04-10 23:18:45.162513
2021-04-02,Philippines,770751.0,2021-04-10 23:18:45.162513
2021-04-02,Philippines,770751.0,2021-04-10 23:18:45.162513
2021-04-04,Andorra,12440.0,2021-04-10 23:18:45.162513
2021-04-04,Andorra,12440.0,2021-04-10 23:18:45.162513
2021-04-04,Australia,841885.0,2021-04-10 23:18:45.162513
2021-04-04,Australia,841885.0,2021-04-10 23:18:45.162513
2021-04-04,Azerbaijan,178596.0,2021-04-10 23:18:45.162513
2021-04-04,Azerbaijan,178596.0,2021-04-10 23:18:45.162513
2021-04-04,Belarus,120355.0,2021-04-10 23:18:45.162513
2021-04-04,Belarus,120355.0,2021-04-10 23:18:45.162513
2021-04-04,Cyprus,163321.0,2021-04-10 23:18:45.162513
2021-04-04,Cyprus,163321.0,2021-04-10 23:18:45.162513
2021-04-04,Czechia,1811584.0,2021-04-10 23:18:45.162513
2021-04-04,Czechia,1811584.0,2021-04-10 23:18:45.162513
2021-04-04,Denmark,1186465.0,2021-04-10 23:18:45.162513
2021-04-04,Denmark,1186465.0,2021-04-10 23:18:45.162513
2021-04-04,Egypt,164354.0,2021-04-10 23:18:45.162513
2021-04-04,Egypt,164354.0,2021-04-10 23:18:45.162513
2021-04-04,Estonia,294402.0,2021-04-10 23:18:45.162513
2021-04-04,Estonia,294402.0,2021-04-10 23:18:45.162513
2021-04-04,France,12405899.0,2021-04-10 23:18:45.162513
2021-04-04,France,12405899.0,2021-04-10 23:18:45.162513
2021-04-04,Germany,14862133.0,2021-04-10 23:18:45.162513
2021-04-04,Germany,14862133.0,2021-04-10 23:18:45.162513
2021-04-04,Greece,1828534.0,2021-04-10 23:18:45.162513
2021-04-04,Greece,1828534.0,2021-04-10 23:18:45.162513
2021-04-04,Hungary,3268423.0,2021-04-10 23:18:45.162513
2021-04-04,Hungary,3268423.0,2021-04-10 23:18:45.162513
2021-04-04,Iceland,74535.0,2021-04-10 23:18:45.162513
2021-04-04,Iceland,74535.0,2021-04-10 23:18:45.162513
2021-04-04,Israel,10096213.0,2021-04-10 23:18:45.162513
2021-04-04,Israel,10096213.0,2021-04-10 23:18:45.162513
2021-04-04,Italy,11036332.0,2021-04-10 23:18:45.162513
2021-04-04,Italy,11036332.0,2021-04-10 23:18:45.162513
2021-04-04,Kazakhstan,496343.0,2021-04-10 23:18:45.162513
2021-04-04,Kazakhstan,496343.0,2021-04-10 23:18:45.162513
2021-04-04,Latvia,146261.0,2021-04-10 23:18:45.162513
2021-04-04,Latvia,146261.0,2021-04-10 23:18:45.162513
2021-04-04,Liechtenstein,6503.0,2021-04-10 23:18:45.162513
2021-04-04,Liechtenstein,6503.0,2021-04-10 23:18:45.162513
2021-04-04,Lithuania,510847.0,2021-04-10 23:18:45.162513
2021-04-04,Lithuania,510847.0,2021-04-10 23:18:45.162513
2021-04-04,Malta,187089.0,2021-04-10 23:18:45.162513
2021-04-04,Malta,187089.0,2021-04-10 23:18:45.162513
2021-04-04,Montenegro,34715.0,2021-04-10 23:18:45.162513
2021-04-04,Montenegro,34715.0,2021-04-10 23:18:45.162513
2021-04-04,Morocco,8240870.0,2021-04-10 23:18:45.162513
2021-04-04,Morocco,8240870.0,2021-04-10 23:18:45.162513
